long,lat,Nationality,Code,Date,Female,Male,Child-Female,Child-Male
95.956223,21.913965,Burma,MM,2010-05-28T00:00:00Z,1,61,1,1
108.277199,14.058324,Vietnam,VN,2010-05-28T00:00:00Z,3,14,,
35.2,31.8833,Palestinian Authority,PS,2010-05-28T00:00:00Z,2,5,1,6
174.885971,-40.900557,New Zealand,NZ,2010-05-28T00:00:00Z,,13,,
69.345116,30.375321,Pakistan,PK,2010-05-28T00:00:00Z,,13,,
,,Other,,2010-05-28T00:00:00Z,46,296,25,36
67.709953,33.93911,Afghanistan,AF,2010-04-23T00:00:00Z,26,1113,17,155
80.771797,7.873054,Sri Lanka,LK,2010-04-23T00:00:00Z,26,569,13,16
43.679291,33.223191,Iraq,IQ,2010-04-23T00:00:00Z,16,161,16,18
113.921327,-0.789275,Indonesia,ID,2010-04-23T00:00:00Z,,135,,22
53.688046,32.427908,Iran,IR,2010-04-23T00:00:00Z,19,96,4,23
79.8714212,6.9044087,Peoples Republic Of China,CN,2010-04-23T00:00:00Z,27,74,,
95.956223,21.913965,Burma,MM,2010-04-23T00:00:00Z,1,47,1,1
108.277199,14.058324,Vietnam,VN,2010-04-23T00:00:00Z,4,14,,
35.2,31.8833,Palestinian Authority,PS,2010-04-23T00:00:00Z,2,6,1,6
174.885971,-40.900557,New Zealand,NZ,2010-04-23T00:00:00Z,,13,,
,,Other,,2010-04-23T00:00:00Z,41,272,22,27
67.709953,33.93911,Afghanistan,AF,2010-03-26T00:00:00Z,27,843,16,106
80.771797,7.873054,Sri Lanka,LK,2010-03-26T00:00:00Z,27,615,13,16
43.679291,33.223191,Iraq,IQ,2010-03-26T00:00:00Z,16,162,16,20
79.8714212,6.9044087,Peoples Republic Of China,CN,2010-03-26T00:00:00Z,29,83,,
113.921327,-0.789275,Indonesia,ID,2010-03-26T00:00:00Z,,85,,22
53.688046,32.427908,Iran,IR,2010-03-26T00:00:00Z,12,76,4,9
95.956223,21.913965,Burma,MM,2010-03-26T00:00:00Z,,36,,1
108.277199,14.058324,Vietnam,VN,2010-03-26T00:00:00Z,3,13,,
35.2,31.8833,Palestinian Authority,PS,2010-03-26T00:00:00Z,2,5,1,6
8.675277,9.081999,Nigeria,NG,2010-03-26T00:00:00Z,,10,,2
,,Other,,2010-03-26T00:00:00Z,17,199,5,8
67.709953,33.93911,Afghanistan,AF,2010-02-26T00:00:00Z,27,728,18,109
80.771797,7.873054,Sri Lanka,LK,2010-02-26T00:00:00Z,12,503,4,12
43.679291,33.223191,Iraq,IQ,2010-02-26T00:00:00Z,12,143,7,18
113.921327,-0.789275,Indonesia,ID,2010-02-26T00:00:00Z,11,71,,19
